Flag N d M NbThreads AvgTime Schedule_kind Chunk_size Probability
1 100 0.500 1000 1 3366 auto 1 1.000
1 100 0.600 1000 1 3586 auto 1 1.000
1 100 0.700 1000 1 3749 auto 1 1.000
1 100 0.800 1000 1 3873 auto 1 1.000
1 100 0.900 1000 1 3970 auto 1 1.000
1 100 1.000 1000 1 4196 auto 1 1.000
1 100 0.000 1000 1 641 auto 1 0.000
1 100 0.100 1000 1 699 auto 1 0.000
1 100 0.200 1000 1 1197 auto 1 0.000
1 100 0.300 1000 1 2598 auto 1 1.000
1 100 0.400 1000 1 3049 auto 1 1.000
1 100 0.500 1000 1 3371 auto 1 1.000
1 100 0.600 1000 1 3575 auto 1 1.000
1 100 0.700 1000 1 3744 auto 1 1.000
1 100 0.800 1000 1 3868 auto 1 1.000
1 100 0.900 1000 1 3981 auto 1 1.000
1 100 1.000 1000 1 4198 auto 1 1.000
1 100 0.000 1000 1 640 auto 1 0.000
1 100 0.100 1000 1 699 auto 1 0.000
1 100 0.200 1000 1 1171 auto 1 0.731
1 100 0.300 1000 1 2604 auto 1 1.000
1 100 0.400 1000 1 3043 auto 1 1.000
1 100 0.500 1000 1 3364 auto 1 1.000
1 100 0.600 1000 1 3586 auto 1 1.000
1 100 0.700 1000 1 3748 auto 1 1.000
1 100 0.800 1000 1 3880 auto 1 1.000
1 100 0.900 1000 1 3980 auto 1 1.000
1 100 1.000 1000 1 4194 auto 1 1.000
1 100 0.000 1000 1 640 auto 1 0.000
1 100 0.100 1000 1 711 auto 1 0.000
1 100 0.200 1000 1 1426 auto 1 0.380
1 100 0.300 1000 1 2625 auto 1 1.000
1 100 0.400 1000 1 3042 auto 1 1.000
1 100 0.500 1000 1 3364 auto 1 1.000
1 100 0.600 1000 1 3594 auto 1 1.000
1 100 0.700 1000 1 3762 auto 1 1.000
1 100 0.800 1000 1 3860 auto 1 1.000
1 100 0.900 1000 1 3979 auto 1 1.000
1 100 1.000 1000 1 4201 auto 1 1.000
1 100 0.000 1000 1 641 auto 1 0.000
1 100 0.100 1000 1 713 auto 1 0.000
1 100 0.200 1000 1 1108 auto 1 0.000
1 100 0.300 1000 1 2599 auto 1 1.000
1 100 0.400 1000 1 3046 auto 1 1.000
1 100 0.500 1000 1 3371 auto 1 1.000
1 100 0.600 1000 1 3591 auto 1 1.000
1 100 0.700 1000 1 3757 auto 1 1.000
