Flag N d M NbThreads AvgTime Probability
1 50 0.240 1000 1 194 0.921
1 50 0.245 1000 1 200 0.948
1 50 0.250 1000 1 204 0.961
1 50 0.255 1000 1 212 0.977
1 50 0.260 1000 1 214 0.989
1 50 0.265 1000 1 217 0.992
1 50 0.270 1000 1 221 0.994
1 50 0.275 1000 1 227 0.997
1 50 0.280 1000 1 228 0.999
1 50 0.285 1000 1 235 0.998
1 50 0.290 1000 1 232 1.000
1 50 0.295 1000 1 237 1.000
1 50 0.300 1000 1 238 1.000
1 50 0.305 1000 1 240 1.000
1 50 0.310 1000 1 246 1.000
1 50 0.315 1000 1 244 1.000
1 50 0.320 1000 1 247 0.999
1 50 0.325 1000 1 253 1.000
1 50 0.330 1000 1 254 1.000
1 50 0.335 1000 1 257 1.000
1 50 0.340 1000 1 256 1.000
1 50 0.345 1000 1 259 1.000
1 50 0.350 1000 1 259 1.000
1 50 0.355 1000 1 262 1.000
1 50 0.360 1000 1 267 1.000
1 50 0.365 1000 1 269 1.000
1 50 0.370 1000 1 267 1.000
1 50 0.375 1000 1 268 1.000
1 50 0.380 1000 1 271 1.000
1 50 0.385 1000 1 273 1.000
1 50 0.390 1000 1 275 1.000
1 50 0.395 1000 1 275 1.000
1 50 0.400 1000 1 278 1.000
1 50 0.405 1000 1 277 1.000
1 50 0.410 1000 1 280 1.000
1 50 0.415 1000 1 285 1.000
1 50 0.420 1000 1 282 1.000
1 50 0.425 1000 1 284 1.000
1 50 0.430 1000 1 285 1.000
1 50 0.435 1000 1 290 1.000
1 50 0.440 1000 1 289 1.000
1 50 0.445 1000 1 289 1.000
1 50 0.450 1000 1 295 1.000
1 50 0.455 1000 1 293 1.000
1 50 0.460 1000 1 294 1.000
1 50 0.465 1000 1 294 1.000
1 50 0.470 1000 1 297 1.000
1 50 0.475 1000 1 297 1.000
1 50 0.480 1000 1 303 1.000
1 50 0.485 1000 1 300 1.000
1 50 0.490 1000 1 302 1.000
1 50 0.495 1000 1 303 1.000
1 50 0.500 1000 1 306 1.000
1 50 0.505 1000 1 306 1.000
1 50 0.510 1000 1 306 1.000
1 50 0.515 1000 1 308 1.000
1 50 0.520 1000 1 309 1.000
1 50 0.525 1000 1 308 1.000
1 50 0.530 1000 1 311 1.000
1 50 0.535 1000 1 312 1.000
1 50 0.540 1000 1 312 1.000
1 50 0.545 1000 1 312 1.000
1 50 0.550 1000 1 313 1.000
1 50 0.555 1000 1 315 1.000
1 50 0.560 1000 1 316 1.000
1 50 0.565 1000 1 319 1.000
1 50 0.570 1000 1 322 1.000
1 50 0.575 1000 1 319 1.000
1 50 0.580 1000 1 319 1.000
1 50 0.585 1000 1 319 1.000
1 50 0.590 1000 1 330 1.000
1 50 0.595 1000 1 324 1.000
1 50 0.600 1000 1 324 1.000
1 50 0.605 1000 1 324 1.000
1 50 0.610 1000 1 335 1.000
1 50 0.615 1000 1 334 1.000
1 50 0.620 1000 1 336 1.000
1 50 0.625 1000 1 326 1.000
1 50 0.630 1000 1 329 1.000
1 50 0.635 1000 1 330 1.000
1 50 0.640 1000 1 333 1.000
1 50 0.645 1000 1 333 1.000
1 50 0.650 1000 1 331 1.000
1 50 0.655 1000 1 334 1.000
1 50 0.660 1000 1 331 1.000
1 50 0.665 1000 1 331 1.000
1 50 0.670 1000 1 333 1.000
1 50 0.675 1000 1 333 1.000
1 50 0.680 1000 1 333 1.000
1 50 0.685 1000 1 337 1.000
1 50 0.690 1000 1 337 1.000
1 50 0.695 1000 1 338 1.000
1 50 0.700 1000 1 346 1.000
1 50 0.705 1000 1 337 1.000
1 50 0.710 1000 1 336 1.000
1 50 0.715 1000 1 344 1.000
1 50 0.720 1000 1 339 1.000
1 50 0.725 1000 1 340 1.000
1 50 0.730 1000 1 342 1.000
1 50 0.735 1000 1 342 1.000
1 50 0.740 1000 1 349 1.000
1 50 0.745 1000 1 342 1.000
1 50 0.750 1000 1 348 1.000
1 50 0.755 1000 1 344 1.000
1 50 0.760 1000 1 349 1.000
1 50 0.765 1000 1 351 1.000
1 50 0.770 1000 1 345 1.000
1 50 0.775 1000 1 350 1.000
1 50 0.780 1000 1 345 1.000
1 50 0.785 1000 1 345 1.000
1 50 0.790 1000 1 347 1.000
1 50 0.795 1000 1 349 1.000
1 50 0.800 1000 1 349 1.000
1 50 0.805 1000 1 361 1.000
1 50 0.810 1000 1 351 1.000
1 50 0.815 1000 1 351 1.000
1 50 0.820 1000 1 352 1.000
1 50 0.825 1000 1 354 1.000
1 50 0.830 1000 1 353 1.000
1 50 0.835 1000 1 353 1.000
1 50 0.840 1000 1 353 1.000
1 50 0.845 1000 1 353 1.000
1 50 0.850 1000 1 353 1.000
1 50 0.855 1000 1 359 1.000
1 50 0.860 1000 1 352 1.000
1 50 0.865 1000 1 354 1.000
1 50 0.870 1000 1 353 1.000
1 50 0.875 1000 1 355 1.000
1 50 0.880 1000 1 354 1.000
1 50 0.885 1000 1 356 1.000
1 50 0.890 1000 1 354 1.000
1 50 0.895 1000 1 354 1.000
1 50 0.900 1000 1 355 1.000
1 50 0.905 1000 1 355 1.000
1 50 0.910 1000 1 363 1.000
1 50 0.915 1000 1 360 1.000
1 50 0.920 1000 1 361 1.000
1 50 0.925 1000 1 363 1.000
1 50 0.930 1000 1 361 1.000
1 50 0.935 1000 1 374 1.000
1 50 0.940 1000 1 366 1.000
1 50 0.945 1000 1 368 1.000
1 50 0.950 1000 1 364 1.000
1 50 0.955 1000 1 368 1.000
1 50 0.960 1000 1 366 1.000
1 50 0.965 1000 1 366 1.000
1 50 0.970 1000 1 370 1.000
1 50 0.975 1000 1 367 1.000
1 50 0.980 1000 1 373 1.000
1 50 0.985 1000 1 369 1.000
1 50 0.990 1000 1 374 1.000
1 50 0.995 1000 1 373 1.000
1 50 1.000 1000 1 374 1.000
1 100 0.000 1000 1 275 0.000
1 100 0.005 1000 1 279 0.000
1 100 0.010 1000 1 278 0.000
1 100 0.015 1000 1 284 0.000
1 100 0.020 1000 1 281 0.000
1 100 0.025 1000 1 284 0.000
1 100 0.030 1000 1 286 0.000
1 100 0.035 1000 1 284 0.000
1 100 0.040 1000 1 288 0.000
1 100 0.045 1000 1 290 0.000
1 100 0.050 1000 1 292 0.000
1 100 0.055 1000 1 298 0.000
1 100 0.060 1000 1 290 0.000
1 100 0.065 1000 1 294 0.000
1 100 0.070 1000 1 293 0.000
1 100 0.075 1000 1 295 0.000
1 100 0.080 1000 1 306 0.000
1 100 0.085 1000 1 298 0.000
1 100 0.090 1000 1 304 0.000
1 100 0.095 1000 1 305 0.000
1 100 0.100 1000 1 303 0.000
1 100 0.105 1000 1 307 0.000
1 100 0.110 1000 1 307 0.000
1 100 0.115 1000 1 310 0.000
1 100 0.120 1000 1 314 0.000
1 100 0.125 1000 1 314 0.000
1 100 0.130 1000 1 318 0.000
1 100 0.135 1000 1 326 0.000
1 100 0.140 1000 1 330 0.000
1 100 0.145 1000 1 328 0.000
1 100 0.150 1000 1 330 0.000
1 100 0.155 1000 1 334 0.000
1 100 0.160 1000 1 340 0.000
1 100 0.165 1000 1 348 0.000
1 100 0.170 1000 1 357 0.000
1 100 0.175 1000 1 364 0.005
