Flag N d M NbThreads AvgTime Probability
1 100 0.190 1000 8 3183 0.055
1 100 0.200 1000 8 2658 0.200
1 100 0.210 1000 8 3681 0.499
1 100 0.220 1000 8 2142 0.788
1 100 0.230 1000 8 2417 0.944
1 100 0.240 1000 8 3619 0.985
1 100 0.250 1000 8 3917 1.000
1 100 0.260 1000 8 2265 1.000
1 100 0.270 1000 8 3369 1.000
1 100 0.280 1000 8 2939 1.000
1 100 0.290 1000 8 3852 1.000
1 100 0.300 1000 8 2302 1.000
1 100 0.310 1000 8 4067 1.000
1 100 0.320 1000 8 2304 1.000
1 100 0.330 1000 8 2399 1.000
1 100 0.340 1000 8 3958 1.000
1 100 0.350 1000 8 4044 1.000
1 100 0.360 1000 8 2666 1.000
1 100 0.370 1000 8 4175 1.000
1 100 0.380 1000 8 2259 1.000
1 100 0.390 1000 8 4203 1.000
1 100 0.400 1000 8 4246 1.000
1 100 0.410 1000 8 2661 1.000
1 100 0.420 1000 8 4105 1.000
1 100 0.430 1000 8 2701 1.000
1 100 0.440 1000 8 4078 1.000
1 100 0.450 1000 8 3305 1.000
1 100 0.460 1000 8 3527 1.000
1 100 0.470 1000 8 4386 1.000
1 100 0.480 1000 8 2829 1.000
1 100 0.490 1000 8 4404 1.000
1 100 0.500 1000 8 3374 1.000
1 100 0.510 1000 8 3559 1.000
1 100 0.520 1000 8 4453 1.000
1 100 0.530 1000 8 2555 1.000
1 100 0.540 1000 8 4363 1.000
1 100 0.550 1000 8 4380 1.000
1 100 0.560 1000 8 2715 1.000
1 100 0.570 1000 8 4388 1.000
1 100 0.580 1000 8 4367 1.000
1 100 0.590 1000 8 2957 1.000
1 100 0.600 1000 8 4484 1.000
1 100 0.610 1000 8 2896 1.000
1 100 0.620 1000 8 4472 1.000
1 100 0.630 1000 8 4692 1.000
1 100 0.640 1000 8 3126 1.000
1 100 0.650 1000 8 4544 1.000
1 100 0.660 1000 8 4724 1.000
1 100 0.670 1000 8 3000 1.000
1 100 0.680 1000 8 4752 1.000
1 100 0.690 1000 8 2880 1.000
1 100 0.700 1000 8 4689 1.000
1 100 0.710 1000 8 4829 1.000
1 100 0.720 1000 8 4855 1.000
1 100 0.730 1000 8 3063 1.000
1 100 0.740 1000 8 4812 1.000
1 100 0.750 1000 8 5317 1.000
1 100 0.760 1000 8 5303 1.000
1 100 0.770 1000 8 4850 1.000
1 100 0.780 1000 8 4457 1.000
1 100 0.790 1000 8 5128 1.000
1 100 0.800 1000 8 4018 1.000
1 100 0.810 1000 8 3911 1.000
1 100 0.820 1000 8 3756 1.000
1 100 0.830 1000 8 3680 1.000
1 100 0.840 1000 8 3193 1.000
1 100 0.850 1000 8 3574 1.000
1 100 0.860 1000 8 3370 1.000
1 100 0.870 1000 8 4869 1.000
1 100 0.880 1000 8 4588 1.000
1 100 0.890 1000 8 5059 1.000
1 100 0.900 1000 8 3443 1.000
1 100 0.910 1000 8 4979 1.000
1 100 0.920 1000 8 5060 1.000
1 100 0.930 1000 8 5018 1.000
1 100 0.940 1000 8 3478 1.000
1 100 0.950 1000 8 5246 1.000
1 100 0.960 1000 8 5098 1.000
1 100 0.970 1000 8 4172 1.000
1 100 0.980 1000 8 4567 1.000
1 100 0.990 1000 8 5103 1.000
1 100 1.000 1000 8 5325 1.000
1 200 0.000 1000 8 8897 0.000
1 200 0.010 1000 8 8861 0.000
1 200 0.020 1000 8 10311 0.000
1 200 0.030 1000 8 9691 0.000
1 200 0.040 1000 8 10483 0.000
1 200 0.050 1000 8 10704 0.000
1 200 0.060 1000 8 10171 0.000
1 200 0.070 1000 8 11794 0.000
1 200 0.080 1000 8 11815 0.000
1 200 0.090 1000 8 11694 0.000
1 200 0.100 1000 8 11901 0.000
