Flag N d M NbThreads AvgTime Schedule_kind Chunk_size Probability
1 100 0.100 1000 1 579 guided 1000 0.000
1 100 0.200 1000 1 1027 guided 1000 0.000
1 100 0.300 1000 1 2088 guided 1000 1.000
1 100 0.400 1000 1 2460 guided 1000 1.000
1 100 0.500 1000 1 2693 guided 1000 1.000
1 100 0.600 1000 1 2817 guided 1000 1.000
1 100 0.700 1000 1 2910 guided 1000 1.000
1 100 0.800 1000 1 3001 guided 1000 1.000
1 100 0.900 1000 1 3066 guided 1000 1.000
1 100 1.000 1000 1 3243 guided 1000 1.000
1 100 0.000 1000 1 646 guided 128 0.000
1 100 0.100 1000 1 714 guided 128 0.000
1 100 0.200 1000 1 1194 guided 128 0.172
1 100 0.300 1000 1 2631 guided 128 1.000
1 100 0.400 1000 1 3070 guided 128 1.000
1 100 0.500 1000 1 3402 guided 128 1.000
1 100 0.600 1000 1 3631 guided 128 1.000
1 100 0.700 1000 1 3797 guided 128 1.000
1 100 0.800 1000 1 3901 guided 128 1.000
1 100 0.900 1000 1 3992 guided 128 1.000
1 100 1.000 1000 1 4245 guided 128 1.000
1 100 0.000 1000 1 636 guided 1 0.000
1 100 0.100 1000 1 694 guided 1 0.000
1 100 0.200 1000 1 970 guided 1 0.000
1 100 0.300 1000 1 2584 guided 1 1.000
1 100 0.400 1000 1 3017 guided 1 1.000
1 100 0.500 1000 1 3336 guided 1 1.000
1 100 0.600 1000 1 3564 guided 1 1.000
1 100 0.700 1000 1 3719 guided 1 1.000
1 100 0.800 1000 1 3841 guided 1 1.000
1 100 0.900 1000 1 3953 guided 1 1.000
1 100 1.000 1000 1 4170 guided 1 1.000
1 100 0.000 1000 1 637 guided 256 0.000
1 100 0.100 1000 1 701 guided 256 0.000
1 100 0.200 1000 1 1149 guided 256 0.000
1 100 0.300 1000 1 2569 guided 256 1.000
1 100 0.400 1000 1 3031 guided 256 1.000
1 100 0.500 1000 1 3339 guided 256 1.000
1 100 0.600 1000 1 3571 guided 256 1.000
1 100 0.700 1000 1 3733 guided 256 1.000
1 100 0.800 1000 1 3835 guided 256 1.000
1 100 0.900 1000 1 3946 guided 256 1.000
1 100 1.000 1000 1 4169 guided 256 1.000
1 100 0.000 1000 1 636 guided 2 0.000
1 100 0.100 1000 1 704 guided 2 0.000
1 100 0.200 1000 1 1220 guided 2 0.483
1 100 0.300 1000 1 2588 guided 2 1.000
1 100 0.400 1000 1 3019 guided 2 1.000
1 100 0.500 1000 1 3347 guided 2 1.000
1 100 0.600 1000 1 3564 guided 2 1.000
1 100 0.700 1000 1 3730 guided 2 1.000
1 100 0.800 1000 1 3843 guided 2 1.000
1 100 0.900 1000 1 3957 guided 2 1.000
1 100 1.000 1000 1 4173 guided 2 1.000
1 100 0.000 1000 1 658 guided 4 0.000
1 100 0.100 1000 1 735 guided 4 0.000
1 100 0.200 1000 1 1564 guided 4 0.877
1 100 0.300 1000 1 2629 guided 4 1.000
1 100 0.400 1000 1 3089 guided 4 1.000
1 100 0.500 1000 1 3434 guided 4 1.000
1 100 0.600 1000 1 3665 guided 4 1.000
1 100 0.700 1000 1 3820 guided 4 1.000
1 100 0.800 1000 1 3953 guided 4 1.000
1 100 0.900 1000 1 4022 guided 4 1.000
1 100 1.000 1000 1 4307 guided 4 1.000
1 100 0.000 1000 1 634 guided 512 0.000
1 100 0.100 1000 1 700 guided 512 0.000
1 100 0.200 1000 1 1254 guided 512 0.136
1 100 0.300 1000 1 2579 guided 512 1.000
1 100 0.400 1000 1 3028 guided 512 1.000
1 100 0.500 1000 1 3336 guided 512 1.000
1 100 0.600 1000 1 3569 guided 512 1.000
1 100 0.700 1000 1 3735 guided 512 1.000
1 100 0.800 1000 1 3855 guided 512 1.000
1 100 0.900 1000 1 3949 guided 512 1.000
1 100 1.000 1000 1 4170 guided 512 1.000
1 100 0.000 1000 1 650 guided 8 0.000
1 100 0.100 1000 1 718 guided 8 0.000
1 100 0.200 1000 1 1290 guided 8 0.705
1 100 0.300 1000 1 2616 guided 8 1.000
1 100 0.400 1000 1 3079 guided 8 1.000
1 100 0.500 1000 1 3424 guided 8 1.000
1 100 0.600 1000 1 3631 guided 8 1.000
1 100 0.700 1000 1 3806 guided 8 1.000
1 100 0.800 1000 1 3905 guided 8 1.000
1 100 0.900 1000 1 4020 guided 8 1.000
1 100 1.000 1000 1 4244 guided 8 1.000
1 100 0.000 1000 1 660 static 1000 0.000
1 100 0.100 1000 1 722 static 1000 0.000
1 100 0.200 1000 1 1266 static 1000 0.299
1 100 0.300 1000 1 2664 static 1000 1.000
1 100 0.400 1000 1 3119 static 1000 1.000
1 100 0.500 1000 1 3441 static 1000 1.000
1 100 0.600 1000 1 3678 static 1000 1.000
1 100 0.700 1000 1 3832 static 1000 1.000
1 100 0.800 1000 1 3951 static 1000 1.000
1 100 0.900 1000 1 4060 static 1000 1.000
1 100 1.000 1000 1 4297 static 1000 1.000
1 100 0.000 1000 1 671 static 128 0.000
1 100 0.100 1000 1 734 static 128 0.000
1 100 0.200 1000 1 1390 static 128 0.000
1 100 0.300 1000 1 2688 static 128 1.000
1 100 0.400 1000 1 3107 static 128 1.000
1 100 0.500 1000 1 3452 static 128 1.000
1 100 0.600 1000 1 3669 static 128 1.000
1 100 0.700 1000 1 3844 static 128 1.000
1 100 0.800 1000 1 3972 static 128 1.000
1 100 0.900 1000 1 4085 static 128 1.000
1 100 1.000 1000 1 4276 static 128 1.000
1 100 0.000 1000 1 640 static 1 0.000
1 100 0.100 1000 1 698 static 1 0.000
1 100 0.200 1000 1 1047 static 1 0.000
1 100 0.300 1000 1 2577 static 1 1.000
1 100 0.400 1000 1 3044 static 1 1.000
1 100 0.500 1000 1 3353 static 1 1.000
1 100 0.600 1000 1 3580 static 1 1.000
1 100 0.700 1000 1 3738 static 1 1.000
1 100 0.800 1000 1 3845 static 1 1.000
1 100 0.900 1000 1 3968 static 1 1.000
1 100 1.000 1000 1 4186 static 1 1.000
1 100 0.000 1000 1 649 static 256 0.000
1 100 0.100 1000 1 724 static 256 0.000
1 100 0.200 1000 1 1137 static 256 0.000
1 100 0.300 1000 1 2636 static 256 1.000
1 100 0.400 1000 1 3086 static 256 1.000
1 100 0.500 1000 1 3408 static 256 1.000
1 100 0.600 1000 1 3648 static 256 1.000
1 100 0.700 1000 1 3796 static 256 1.000
1 100 0.800 1000 1 3910 static 256 1.000
1 100 0.900 1000 1 4045 static 256 1.000
1 100 1.000 1000 1 4264 static 256 1.000
1 100 0.000 1000 1 638 static 2 0.000
1 100 0.100 1000 1 699 static 2 0.000
1 100 0.200 1000 1 1515 static 2 0.985
1 100 0.300 1000 1 2566 static 2 1.000
1 100 0.400 1000 1 3036 static 2 1.000
1 100 0.500 1000 1 3353 static 2 1.000
1 100 0.600 1000 1 3585 static 2 1.000
1 100 0.700 1000 1 3733 static 2 1.000
1 100 0.800 1000 1 3848 static 2 1.000
1 100 0.900 1000 1 3975 static 2 1.000
1 100 1.000 1000 1 4182 static 2 1.000
1 100 0.000 1000 1 642 static 4 0.000
1 100 0.100 1000 1 725 static 4 0.000
1 100 0.200 1000 1 1438 static 4 0.670
1 100 0.300 1000 1 2612 static 4 1.000
1 100 0.400 1000 1 3011 static 4 1.000
1 100 0.500 1000 1 3348 static 4 1.000
1 100 0.600 1000 1 3593 static 4 1.000
1 100 0.700 1000 1 3747 static 4 1.000
1 100 0.800 1000 1 3885 static 4 1.000
1 100 0.900 1000 1 3971 static 4 1.000
1 100 1.000 1000 1 4215 static 4 1.000
1 100 0.000 1000 1 666 static 512 0.000
1 100 0.100 1000 1 737 static 512 0.000
1 100 0.200 1000 1 1164 static 512 0.000
1 100 0.300 1000 1 2689 static 512 1.000
1 100 0.400 1000 1 3129 static 512 1.000
1 100 0.500 1000 1 3446 static 512 1.000
1 100 0.600 1000 1 3670 static 512 1.000
1 100 0.700 1000 1 3842 static 512 1.000
1 100 0.800 1000 1 3941 static 512 1.000
1 100 0.900 1000 1 4068 static 512 1.000
1 100 1.000 1000 1 4304 static 512 1.000
1 100 0.000 1000 1 642 static 8 0.000
1 100 0.100 1000 1 698 static 8 0.000
1 100 0.200 1000 1 1254 static 8 0.340
1 100 0.300 1000 1 2616 static 8 1.000
1 100 0.400 1000 1 3029 static 8 1.000
1 100 0.500 1000 1 3347 static 8 1.000
1 100 0.600 1000 1 3577 static 8 1.000
1 100 0.700 1000 1 3741 static 8 1.000
1 100 0.800 1000 1 3865 static 8 1.000
1 100 0.900 1000 1 3973 static 8 1.000
1 100 1.000 1000 1 4187 static 8 1.000
1 100 0.000 1000 2 325 auto 128 0.000
1 100 0.100 1000 2 365 auto 128 0.000
1 100 0.200 1000 2 836 auto 128 0.497
1 100 0.300 1000 2 1637 auto 128 1.000
1 100 0.400 1000 2 1918 auto 128 1.000
1 100 0.500 1000 2 2127 auto 128 1.000
1 100 0.600 1000 2 2274 auto 128 1.000
1 100 0.700 1000 2 2377 auto 128 1.000
1 100 0.800 1000 2 2454 auto 128 1.000
1 100 0.900 1000 2 2518 auto 128 1.000
1 100 1.000 1000 2 2610 auto 128 1.000
1 100 0.000 1000 2 325 auto 1 0.000
1 100 0.100 1000 2 366 auto 1 0.000
1 100 0.200 1000 2 746 auto 1 0.000
1 100 0.300 1000 2 1634 auto 1 1.000
1 100 0.400 1000 2 1917 auto 1 1.000
1 100 0.500 1000 2 2121 auto 1 1.000
1 100 0.600 1000 2 2271 auto 1 1.000
1 100 0.700 1000 2 2380 auto 1 1.000
1 100 0.800 1000 2 2458 auto 1 1.000
1 100 0.900 1000 2 2522 auto 1 1.000
1 100 1.000 1000 2 2609 auto 1 1.000
1 100 0.000 1000 2 325 auto 256 0.000
1 100 0.100 1000 2 360 auto 256 0.000
1 100 0.200 1000 2 835 auto 256 0.452
1 100 0.300 1000 2 1625 auto 256 1.000
1 100 0.400 1000 2 1929 auto 256 1.000
1 100 0.500 1000 2 2116 auto 256 1.000
1 100 0.600 1000 2 2269 auto 256 1.000
1 100 0.700 1000 2 2376 auto 256 1.000
1 100 0.800 1000 2 2462 auto 256 1.000
1 100 0.900 1000 2 2528 auto 256 1.000
1 100 1.000 1000 2 2613 auto 256 1.000
1 100 0.000 1000 2 323 auto 2 0.000
1 100 0.100 1000 2 382 auto 2 0.000
1 100 0.200 1000 2 570 auto 2 0.000
