Flag N d M NbThreads AvgTime Probability
1 50 0.420 1 2 1 1.000
1 50 0.440 1 2 1 1.000
1 50 0.460 1 2 1 1.000
1 50 0.480 1 2 1 1.000
1 50 0.500 1 2 1 1.000
1 50 0.520 1 2 1 1.000
1 50 0.540 1 2 1 1.000
1 50 0.560 1 2 1 1.000
1 50 0.580 1 2 1 1.000
1 50 0.600 1 2 1 1.000
1 50 0.620 1 2 1 1.000
1 50 0.640 1 2 1 1.000
1 50 0.660 1 2 1 1.000
1 50 0.680 1 2 1 1.000
1 50 0.700 1 2 1 1.000
1 50 0.720 1 2 1 1.000
1 50 0.740 1 2 1 1.000
1 50 0.760 1 2 1 1.000
1 50 0.780 1 2 1 1.000
1 50 0.800 1 2 1 1.000
1 50 0.820 1 2 1 1.000
1 50 0.840 1 2 1 1.000
1 50 0.860 1 2 1 1.000
1 50 0.880 1 2 1 1.000
1 50 0.900 1 2 1 1.000
1 50 0.920 1 2 1 1.000
1 50 0.940 1 2 1 1.000
1 50 0.960 1 2 1 1.000
1 50 0.980 1 2 1 1.000
1 50 1.000 1 2 1 1.000
1 50 0.000 10 2 1 0.000
1 50 0.020 10 2 1 0.000
1 50 0.040 10 2 1 0.000
1 50 0.060 10 2 1 0.000
1 50 0.080 10 2 1 0.000
1 50 0.100 10 2 1 0.000
1 50 0.120 10 2 1 0.000
1 50 0.140 10 2 1 0.000
1 50 0.160 10 2 1 0.000
1 50 0.180 10 2 2 0.000
1 50 0.200 10 2 1 0.000
1 50 0.220 10 2 3 0.500
1 50 0.240 10 2 3 1.000
1 50 0.260 10 2 3 1.000
1 50 0.280 10 2 4 1.000
1 50 0.300 10 2 4 1.000
1 50 0.320 10 2 4 1.000
1 50 0.340 10 2 4 1.000
1 50 0.360 10 2 4 1.000
1 50 0.380 10 2 5 1.000
1 50 0.400 10 2 5 1.000
1 50 0.420 10 2 5 1.000
1 50 0.440 10 2 5 1.000
1 50 0.460 10 2 5 1.000
1 50 0.480 10 2 5 1.000
1 50 0.500 10 2 5 1.000
1 50 0.520 10 2 5 1.000
1 50 0.540 10 2 5 1.000
1 50 0.560 10 2 5 1.000
1 50 0.580 10 2 6 1.000
1 50 0.600 10 2 6 1.000
1 50 0.620 10 2 6 1.000
1 50 0.640 10 2 6 1.000
1 50 0.660 10 2 6 1.000
1 50 0.680 10 2 6 1.000
1 50 0.700 10 2 6 1.000
1 50 0.720 10 2 6 1.000
1 50 0.740 10 2 6 1.000
1 50 0.760 10 2 6 1.000
1 50 0.780 10 2 6 1.000
1 50 0.800 10 2 6 1.000
1 50 0.820 10 2 6 1.000
1 50 0.840 10 2 6 1.000
1 50 0.860 10 2 6 1.000
1 50 0.880 10 2 6 1.000
1 50 0.900 10 2 6 1.000
1 50 0.920 10 2 6 1.000
1 50 0.940 10 2 6 1.000
1 50 0.960 10 2 6 1.000
1 50 0.980 10 2 7 1.000
1 50 1.000 10 2 7 1.000
1 50 0.000 100 2 9 0.000
1 50 0.020 100 2 9 0.000
1 50 0.040 100 2 9 0.000
1 50 0.060 100 2 9 0.000
1 50 0.080 100 2 9 0.000
1 50 0.100 100 2 10 0.000
1 50 0.120 100 2 11 0.000
1 50 0.140 100 2 11 0.000
1 50 0.160 100 2 14 0.000
1 50 0.180 100 2 15 0.000
1 50 0.200 100 2 25 0.500
1 50 0.220 100 2 31 0.500
1 50 0.240 100 2 34 1.000
1 50 0.260 100 2 36 1.000
1 50 0.280 100 2 39 1.000
1 50 0.300 100 2 40 1.000
1 50 0.320 100 2 42 1.000
1 50 0.340 100 2 44 1.000
1 50 0.360 100 2 44 1.000
1 50 0.380 100 2 47 1.000
1 50 0.400 100 2 47 1.000
1 50 0.420 100 2 49 1.000
1 50 0.440 100 2 49 1.000
1 50 0.460 100 2 51 1.000
1 50 0.480 100 2 52 1.000
1 50 0.500 100 2 52 1.000
1 50 0.520 100 2 54 1.000
1 50 0.540 100 2 53 1.000
1 50 0.560 100 2 55 1.000
1 50 0.580 100 2 55 1.000
1 50 0.600 100 2 56 1.000
1 50 0.620 100 2 57 1.000
1 50 0.640 100 2 57 1.000
1 50 0.660 100 2 58 1.000
1 50 0.680 100 2 58 1.000
1 50 0.700 100 2 59 1.000
1 50 0.720 100 2 59 1.000
1 50 0.740 100 2 60 1.000
1 50 0.760 100 2 60 1.000
1 50 0.780 100 2 60 1.000
1 50 0.800 100 2 61 1.000
1 50 0.820 100 2 61 1.000
1 50 0.840 100 2 61 1.000
1 50 0.860 100 2 62 1.000
1 50 0.880 100 2 62 1.000
1 50 0.900 100 2 63 1.000
1 50 0.920 100 2 63 1.000
1 50 0.940 100 2 63 1.000
1 50 0.960 100 2 64 1.000
1 50 0.980 100 2 64 1.000
1 50 1.000 100 2 64 1.000
1 50 0.000 1000 2 86 0.000
1 50 0.020 1000 2 87 0.000
1 50 0.040 1000 2 91 0.000
1 50 0.060 1000 2 96 0.000
1 50 0.080 1000 2 98 0.000
1 50 0.100 1000 2 96 0.000
1 50 0.120 1000 2 107 0.000
1 50 0.140 1000 2 118 0.000
1 50 0.160 1000 2 131 0.000
1 50 0.180 1000 2 175 0.000
1 50 0.200 1000 2 220 0.000
1 50 0.220 1000 2 281 0.000
1 50 0.240 1000 2 342 1.000
1 50 0.260 1000 2 352 1.000
1 50 0.280 1000 2 390 1.000
1 50 0.300 1000 2 406 1.000
1 50 0.320 1000 2 423 1.000
1 50 0.340 1000 2 432 1.000
1 50 0.360 1000 2 445 1.000
1 50 0.380 1000 2 462 1.000
1 50 0.400 1000 2 471 1.000
1 50 0.420 1000 2 485 1.000
1 50 0.440 1000 2 497 1.000
1 50 0.460 1000 2 506 1.000
1 50 0.480 1000 2 512 1.000
1 50 0.500 1000 2 520 1.000
1 50 0.520 1000 2 536 1.000
1 50 0.540 1000 2 539 1.000
1 50 0.560 1000 2 545 1.000
1 50 0.580 1000 2 551 1.000
1 50 0.600 1000 2 560 1.000
1 50 0.620 1000 2 562 1.000
1 50 0.640 1000 2 573 1.000
1 50 0.660 1000 2 577 1.000
1 50 0.680 1000 2 584 1.000
1 50 0.700 1000 2 587 1.000
1 50 0.720 1000 2 589 1.000
1 50 0.740 1000 2 594 1.000
1 50 0.760 1000 2 601 1.000
1 50 0.780 1000 2 600 1.000
1 50 0.800 1000 2 604 1.000
1 50 0.820 1000 2 615 1.000
1 50 0.840 1000 2 618 1.000
1 50 0.860 1000 2 620 1.000
1 50 0.880 1000 2 624 1.000
1 50 0.900 1000 2 633 1.000
1 50 0.920 1000 2 626 1.000
1 50 0.940 1000 2 637 1.000
1 50 0.960 1000 2 639 1.000
